date,run_id,N,K,R,design_EbN0,EbN0_dB,frames,block_errors,BLER,bit_errors,BER,notes
2026-01-02,20260102_122820,128,64,0.5,2.0,0.0,200,200,1.000000e+00,6272,4.900000e-01,"SC(min-sum), GA-frozen"
2026-01-02,20260102_122820,128,64,0.5,2.0,0.5,200,200,1.000000e+00,6428,5.021875e-01,"SC(min-sum), GA-frozen"
2026-01-02,20260102_122820,128,64,0.5,2.0,1.0,200,200,1.000000e+00,6271,4.899219e-01,"SC(min-sum), GA-frozen"
2026-01-02,20260102_122820,128,64,0.5,2.0,1.5,200,200,1.000000e+00,6253,4.885156e-01,"SC(min-sum), GA-frozen"
2026-01-02,20260102_122820,128,64,0.5,2.0,2.0,200,200,1.000000e+00,6266,4.895312e-01,"SC(min-sum), GA-frozen"
2026-01-02,20260102_123438,128,64,0.5,2.0,0.0,200,200,1.000000e+00,5919,4.624219e-01,"SC(min-sum), GA-frozen"
2026-01-02,20260102_123438,128,64,0.5,2.0,0.5,200,200,1.000000e+00,5910,4.617188e-01,"SC(min-sum), GA-frozen"
2026-01-02,20260102_123438,128,64,0.5,2.0,1.0,200,200,1.000000e+00,5877,4.591406e-01,"SC(min-sum), GA-frozen"
2026-01-02,20260102_123438,128,64,0.5,2.0,1.5,200,200,1.000000e+00,5779,4.514844e-01,"SC(min-sum), GA-frozen"
2026-01-02,20260102_123438,128,64,0.5,2.0,2.0,200,200,1.000000e+00,5666,4.426562e-01,"SC(min-sum), GA-frozen"
2026-01-02,20260102_132913,128,64,0.5,2.0,0.0,200,200,1.000000e+00,6158,4.810937e-01,"SC(min-sum), GA-frozen"
2026-01-02,20260102_132913,128,64,0.5,2.0,0.5,200,200,1.000000e+00,6158,4.810937e-01,"SC(min-sum), GA-frozen"
2026-01-02,20260102_132913,128,64,0.5,2.0,1.0,200,200,1.000000e+00,6050,4.726562e-01,"SC(min-sum), GA-frozen"
2026-01-02,20260102_132913,128,64,0.5,2.0,1.5,200,200,1.000000e+00,6059,4.733594e-01,"SC(min-sum), GA-frozen"
2026-01-02,20260102_132913,128,64,0.5,2.0,2.0,200,200,1.000000e+00,5964,4.659375e-01,"SC(min-sum), GA-frozen"
2026-01-02,20260102_133438,128,64,0.5,2.0,0.0,200,200,1.000000e+00,5506,4.301563e-01,"SC(min-sum), GA-frozen"
2026-01-02,20260102_133438,128,64,0.5,2.0,0.5,201,200,9.950249e-01,5493,4.270056e-01,"SC(min-sum), GA-frozen"
2026-01-02,20260102_133438,128,64,0.5,2.0,1.0,200,200,1.000000e+00,5114,3.995313e-01,"SC(min-sum), GA-frozen"
2026-01-02,20260102_133438,128,64,0.5,2.0,1.5,206,200,9.708738e-01,4972,3.771238e-01,"SC(min-sum), GA-frozen"
2026-01-02,20260102_133438,128,64,0.5,2.0,2.0,211,200,9.478673e-01,4316,3.196090e-01,"SC(min-sum), GA-frozen"
2026-01-02,20260102_134159,128,64,0.5,2.0,2.0,2000,0,0.000000e+00,0,0.000000e+00,"SC(min-sum), GA-frozen"
2026-01-02,20260102_134220,128,64,0.5,2.0,2.0,2000,0,0.000000e+00,0,0.000000e+00,"SC(min-sum), GA-frozen"
2026-01-02,20260102_135602,128,64,0.5,2.0,0.0,282,200,7.092199e-01,4549,2.520501e-01,"SC(min-sum), GA-frozen, permuted-domain"
2026-01-02,20260102_135602,128,64,0.5,2.0,0.5,350,200,5.714286e-01,4048,1.807143e-01,"SC(min-sum), GA-frozen, permuted-domain"
2026-01-02,20260102_135602,128,64,0.5,2.0,1.0,479,200,4.175365e-01,3634,1.185412e-01,"SC(min-sum), GA-frozen, permuted-domain"
2026-01-02,20260102_135602,128,64,0.5,2.0,1.5,706,200,2.832861e-01,3340,7.391997e-02,"SC(min-sum), GA-frozen, permuted-domain"
2026-01-02,20260102_135602,128,64,0.5,2.0,2.0,1478,200,1.353180e-01,2979,3.149315e-02,"SC(min-sum), GA-frozen, permuted-domain"
2026-01-02,20260102_140703,128,64,0.5,2.0,0.0,282,200,7.092199e-01,4549,2.520501e-01,"SC(min-sum), GA-frozen, permuted-domain"
2026-01-02,20260102_140703,128,64,0.5,2.0,0.5,350,200,5.714286e-01,4048,1.807143e-01,"SC(min-sum), GA-frozen, permuted-domain"
2026-01-02,20260102_140703,128,64,0.5,2.0,1.0,479,200,4.175365e-01,3634,1.185412e-01,"SC(min-sum), GA-frozen, permuted-domain"
2026-01-02,20260102_140703,128,64,0.5,2.0,1.5,706,200,2.832861e-01,3340,7.391997e-02,"SC(min-sum), GA-frozen, permuted-domain"
2026-01-02,20260102_140703,128,64,0.5,2.0,2.0,1478,200,1.353180e-01,2979,3.149315e-02,"SC(min-sum), GA-frozen, permuted-domain"
2026-01-02,20260102_142020,128,64,0.5,2.0,2.0,2000,0,0.000000e+00,0,0.000000e+00,"SC(min-sum), GA-frozen, permuted-domain"
2026-01-03,20260103_012042,128,64,0.5,2.0,2.0,2000,0,0.000000e+00,0,0.000000e+00,"SC(min-sum), GA-frozen, permuted-domain"
2026-01-03,20260103_012252,128,64,0.5,2.0,0.0,282,200,7.092199e-01,4549,2.520501e-01,"SC(min-sum), GA-frozen, permuted-domain"
2026-01-03,20260103_012252,128,64,0.5,2.0,0.5,350,200,5.714286e-01,4048,1.807143e-01,"SC(min-sum), GA-frozen, permuted-domain"
2026-01-03,20260103_012252,128,64,0.5,2.0,1.0,479,200,4.175365e-01,3634,1.185412e-01,"SC(min-sum), GA-frozen, permuted-domain"
2026-01-03,20260103_012252,128,64,0.5,2.0,1.5,706,200,2.832861e-01,3340,7.391997e-02,"SC(min-sum), GA-frozen, permuted-domain"
2026-01-03,20260103_012252,128,64,0.5,2.0,2.0,1478,200,1.353180e-01,2979,3.149315e-02,"SC(min-sum), GA-frozen, permuted-domain"
